Name,Age,Occupation
Alice,30,Engineer
Bob,35,Data Scientist
Charlie,28,Graphic Designer
Diana,42,Project Manager
Eva,33,Marketing Specialist
Frank,29,Financial Analyst
Grace,39,Software Developer
Hannah,31,UX Designer
Ian,27,Research Scientist
Jack,36,Database Administrator
Karen,34,HR Specialist
Leo,41,Product Manager
Mia,26,Social Media Manager
Nathan,45,CEO
Olivia,32,Content Writer
Paul,37,Network Engineer
Quincy,43,CTO
Rita,38,Compliance Officer
Sam,40,Security Analyst
Tina,28,Quality Assurance Engineer
Ursula,46,Chief Financial Officer
Victor,31,Front-end Developer
Wendy,29,Data Analyst
Xander,35,Back-end Developer
Yara,32,Operations Manager
Zack,28,Mobile Developer
Aaron,33,Legal Advisor
Bella,37,Sales Manager
Carlos,42,IT Manager
Daisy,34,Recruiter
